
 ПРОТОКОЛ №1            06-05-2018 08:32:41
 -------------------------------------------------------------------------------
 Оператор:   [ТЕСТ РУЧНОЙ №1]
 Мишень:     [1]
 -------------------------------------------------------------------------------
 Номер      Отметка      Область     Положение X   Положение Y    Cтатус
 пробоины   времени      попадания                                управления
 -------------------------------------------------------------------------------
   1	  00:00:14:2	 7	     -110    	   -110	          1
   2	  00:00:14:5	 1	     -25    	   100	          1
   3	  00:00:14:7	 5	     285    	   -175	          1
   4	  00:00:14:9	 7	     -75    	   -165	          1
   5	  00:00:15:2	 1	     -100    	   75	          1
   6	  00:00:15:3	 3	     190    	   95	          1
   7	  00:00:15:6	 7	     -110    	   -85	          1
   8	  00:00:15:8	 1	     -165    	   155	          1
   9	  00:00:16:1	 5	     130    	   -30	          1
   10	  00:00:16:3	 7	     -60    	   -25	          1
   11	  00:00:16:5	 1	     -190    	   175	          1
   12	  00:00:16:8	 1	     -490    	   360	          1
   13	  00:00:17:0	 1	     -490    	   430	          1
   14	  00:00:17:2	 5	     40    	   -70	          1
   15	  00:00:17:5	 5	     105    	   -195	          1
   16	  00:00:17:8	 1	     -600    	   605	          1
   17	  00:00:18:1	 1	     -390    	   450	          1
   18	  00:00:18:4	 5	     280    	   -300	          1
   19	  00:00:18:6	 5	     205    	   -370	          1
   20	  00:00:18:8	 1	     -445    	   280	          1
   21	  00:00:19:1	 1	     -165    	   320	          1
   22	  00:00:19:3	 5	     45    	   -145	          1
   23	  00:00:19:4	 7	     -395    	   -170	          1
   24	  00:00:19:6	 1	     -625    	   255	          1
   25	  00:00:19:9	 1	     -365    	   260	          1
   26	  00:00:20:0	 7	     -85    	   -55	          1
   27	  00:00:20:2	 7	     -95    	   -230	          1
   28	  00:00:20:5	 1	     -660    	   335	          1
   29	  00:00:20:7	 1	     -405    	   340	          1
   30	  00:00:21:5	 5	     50    	   -160	          1
   31	  00:00:21:8	 5	     95    	   -235	          1
   32	  00:00:22:2	 7	     -350    	   -25	          1
   33	  00:00:22:4	 1	     -375    	   375	          1
   34	  00:00:22:6	 2	     0    	   125	          1
   35	  00:00:22:8	 5	     105    	   -125	          1
   36	  00:00:23:0	 7	     -225    	   -30	          1
   37	  00:00:23:4	 1	     -250    	   425	          1
   38	  00:00:23:7	 5	     140    	   -35	          1
   39	  00:00:23:9	 7	     -25    	   -15	          1
   40	  00:00:24:1	 1	     -340    	   515	          1
   41	  00:00:24:5	 1	     -100    	   585	          1
   42	  00:00:24:6	 3	     105    	   300	          1
   43	  00:00:24:8	 3	     35    	   150	          1
   44	  00:00:25:1	 1	     -290    	   675	          1
   45	  00:00:25:4	 3	     85    	   555	          1
   46	  00:00:25:7	 3	     85    	   345	          1
   47	  00:00:26:4	 3	     285    	   330	          1
   48	  00:00:26:6	 3	     290    	   265	          1
   49	  00:00:27:0	 5	     295    	   -170	          1
   50	  00:00:27:2	 5	     190    	   -240	          1
   51	  00:00:27:3	 7	     -235    	   -135	          1
   52	  00:00:27:5	 1	     -175    	   295	          1
   53	  00:00:27:7	 3	     55    	   360	          1
   54	  00:00:28:2	 7	     -25    	   -235	          1
   55	  00:00:28:3	 7	     -290    	   -75	          1
   56	  00:00:28:5	 1	     -265    	   160	          1
   57	  00:00:28:6	 1	     -160    	   200	          1
   58	  00:00:28:9	 5	     100    	   -145	          1
   59	  00:00:29:2	 7	     -145    	   -230	          1
   60	  00:00:29:4	 7	     -270    	   -175	          1
