
 ПРОТОКОЛ №2            27-05-2018 12:22:47
 -------------------------------------------------------------------------------
 Оператор:   [ТЕСТ РУЧНОЙ №4]
 Мишень:     [1]
 -------------------------------------------------------------------------------
 Номер      Отметка      Область     Положение X   Положение Y    Входит в
 пробоины   времени      попадания                                круг/прямоуг.
 -------------------------------------------------------------------------------
   1	  00:00:04:5	 3	     70    	   75	          1
   2	  00:00:05:0	 1	     -210    	   100	          0
   3	  00:00:05:2	 7	     -190    	   -120	          0
   4	  00:00:05:5	 5	     110    	   -135	          0
   5	  00:00:05:7	 5	     135    	   -110	          0
   6	  00:00:05:9	 3	     135    	   10	          0
   7	  00:00:06:3	 1	     -205    	   140	          0
   8	  00:00:06:6	 1	     -205    	   5	          0
   9	  00:00:06:8	 7	     -65    	   -70	          1
   10	  00:00:07:0	 7	     -40    	   -70	          1
   11	  00:00:07:4	 5	     25    	   -40	          1
   12	  00:00:07:7	 3	     125    	   65	          0
   13	  00:00:07:9	 3	     25    	   160	          1
   14	  00:00:08:1	 3	     10    	   160	          1
   15	  00:00:08:5	 1	     -90    	   155	          1
   16	  00:00:08:6	 1	     -70    	   165	          1
   17	  00:00:08:9	 3	     5    	   255	          0
   18	  00:00:09:8	 3	     150    	   215	          0
   19	  00:00:10:1	 1	     -125    	   265	          0
   20	  00:00:10:3	 1	     -60    	   290	          0
   21	  00:00:10:5	 3	     55    	   70	          1
   22	  00:00:11:0	 5	     10    	   -30	          1
   23	  00:00:11:2	 1	     -170    	   170	          0
   24	  00:00:11:4	 1	     -190    	   55	          0
   25	  00:00:11:5	 7	     -205    	   -75	          0
   26	  00:00:11:7	 7	     -60    	   -75	          0
   27	  00:00:12:0	 5	     35    	   -80	          0
   28	  00:00:12:2	 5	     50    	   -95	          0
   29	  00:00:12:3	 3	     110    	   100	          0
   30	  00:00:12:5	 3	     110    	   185	          0
   31	  00:00:12:7	 3	     30    	   210	          0
   32	  00:00:12:9	 1	     -45    	   70	          1
   33	  00:00:13:2	 5	     25    	   -165	          0
   34	  00:00:13:4	 7	     -85    	   -90	          0
   35	  00:00:13:6	 1	     -135    	   85	          0
   36	  00:00:13:9	 1	     -15    	   120	          1
   37	  00:00:14:1	 3	     160    	   30	          0
   38	  00:00:14:4	 5	     185    	   -70	          0
   39	  00:00:14:5	 5	     150    	   -120	          0
   40	  00:00:14:7	 5	     5    	   -80	          0
   41	  00:00:14:9	 1	     -115    	   80	          0
   42	  00:00:15:3	 1	     -35    	   165	          1
   43	  00:00:15:6	 3	     85    	   150	          1
   44	  00:00:15:8	 3	     135    	   205	          0
   45	  00:00:16:0	 3	     125    	   90	          0
   46	  00:00:16:2	 3	     70    	   45	          1
   47	  00:00:16:6	 1	     -65    	   105	          1
   48	  00:00:16:7	 7	     -35    	   -30	          1
   49	  00:00:17:0	 7	     -10    	   -130	          0
   50	  00:00:17:2	 7	     -55    	   -110	          0
   51	  00:00:17:4	 1	     -30    	   95	          1
   52	  00:00:17:8	 3	     25    	   110	          1
   53	  00:00:18:2	 1	     -70    	   85	          1
   54	  00:00:18:5	 1	     -165    	   155	          0
   55	  00:00:18:8	 3	     30    	   205	          0
   56	  00:00:19:5	 1	     -55    	   135	          1
   57	  00:00:19:8	 1	     -80    	   115	          1
   58	  00:00:20:1	 1	     -90    	   115	          1
   59	  00:00:20:5	 3	     140    	   10	          0
   60	  00:00:20:7	 5	     130    	   -40	          0
