
 ПРОТОКОЛ №1            27-05-2018 08:22:11
 -------------------------------------------------------------------------------
 Оператор:   [ТЕСТ РУЧНОЙ №4]
 Мишень:     [1]
 -------------------------------------------------------------------------------
 Номер      Отметка      Область     Положение X   Положение Y    Cтатус
 пробоины   времени      попадания                                управления
 -------------------------------------------------------------------------------
   1	  00:00:16:1	 1	     -375    	   130	          1
   2	  00:00:17:0	 7	     -70    	   -175	          1
   3	  00:00:17:4	 7	     -285    	   -15	          1
   4	  00:00:17:8	 1	     -120    	   150	          1
   5	  00:00:18:1	 5	     380    	   -210	          1
   6	  00:00:18:3	 5	     335    	   -370	          1
   7	  00:00:18:6	 5	     35    	   -260	          1
   8	  00:00:18:8	 3	     20    	   155	          1
   9	  00:00:19:1	 3	     185    	   255	          1
   10	  00:00:19:3	 5	     515    	   -80	          1
   11	  00:00:19:5	 5	     495    	   -340	          1
   12	  00:00:19:7	 5	     230    	   -360	          1
   13	  00:00:19:9	 7	     -10    	   -235	          1
   14	  00:00:20:2	 1	     -15    	   205	          1
   15	  00:00:20:6	 5	     460    	   -365	          1
   16	  00:00:20:8	 5	     365    	   -455	          1
   17	  00:00:21:0	 7	     -65    	   -355	          1
   18	  00:00:21:3	 1	     -275    	   95	          1
   19	  00:00:21:5	 1	     -95    	   155	          1
   20	  00:00:21:7	 5	     355    	   -220	          1
   21	  00:00:22:0	 7	     -30    	   -250	          1
   22	  00:00:22:1	 7	     -220    	   -15	          1
   23	  00:00:22:5	 1	     -210    	   275	          1
   24	  00:00:22:7	 3	     210    	   380	          1
   25	  00:00:22:9	 5	     375    	   -15	          1
   26	  00:00:23:0	 5	     405    	   -240	          1
   27	  00:00:23:2	 5	     225    	   -335	          1
   28	  00:00:23:6	 7	     -200    	   -345	          1
   29	  00:00:23:8	 7	     -375    	   -200	          1
   30	  00:00:24:0	 1	     -445    	   215	          1
   31	  00:00:24:2	 1	     -240    	   380	          1
   32	  00:00:24:4	 3	     135    	   240	          1
   33	  00:00:24:6	 3	     220    	   60	          1
   34	  00:00:24:9	 5	     325    	   -285	          1
   35	  00:00:25:0	 5	     135    	   -340	          1
   36	  00:00:25:2	 7	     -140    	   -280	          1
   37	  00:00:25:4	 1	     -370    	   475	          1
   38	  00:00:25:7	 1	     -60    	   515	          1
   39	  00:00:26:1	 5	     220    	   -185	          1
   40	  00:00:26:3	 5	     25    	   -240	          1
   41	  00:00:26:4	 7	     -125    	   -250	          1
   42	  00:00:26:6	 7	     -295    	   -140	          1
   43	  00:00:26:8	 1	     -325    	   300	          1
   44	  00:00:27:0	 1	     -110    	   395	          1
   45	  00:00:27:3	 3	     190    	   205	          1
   46	  00:00:27:5	 5	     85    	   -180	          1
   47	  00:00:27:7	 7	     -210    	   -200	          1
   48	  00:00:27:8	 7	     -280    	   -30	          1
   49	  00:00:28:0	 1	     -320    	   270	          1
   50	  00:00:28:3	 1	     -60    	   395	          1
   51	  00:00:28:5	 3	     220    	   40	          1
   52	  00:00:28:7	 5	     160    	   -145	          1
   53	  00:00:28:9	 7	     -165    	   -160	          1
   54	  00:00:29:1	 1	     -290    	   345	          1
   55	  00:00:29:4	 1	     -5    	   385	          1
   56	  00:00:29:6	 5	     230    	   -145	          1
   57	  00:00:29:7	 5	     140    	   -265	          1
   58	  00:00:29:9	 7	     -185    	   -250	          1
   59	  00:00:30:1	 7	     -335    	   -10	          1
   60	  00:00:30:3	 1	     -125    	   315	          1
