
 ПРОТОКОЛ №3            05-05-2018 09:37:25
 -------------------------------------------------------------------------------
 Оператор:   [ТЕСТ РУЧНОЙ]
 Мишень:     [1]
 -------------------------------------------------------------------------------
 Номер      Отметка      Область     Положение X   Положение Y    Cтатус
 пробоины   времени      попадания                                управления
 -------------------------------------------------------------------------------
   1	  00:05:35:8	 1	     -215    	   205	          1
   2	  00:05:36:5	 5	     20    	   -55	          1
   3	  00:05:36:8	 5	     95    	   -350	          1
   4	  00:05:37:1	 7	     -115    	   -365	          1
   5	  00:05:37:3	 7	     -260    	   -110	          1
   6	  00:05:37:7	 1	     -45    	   75	          1
   7	  00:05:38:0	 5	     185    	   -145	          1
   8	  00:05:38:3	 5	     160    	   -410	          1
   9	  00:05:38:6	 5	     350    	   -375	          1
   10	  00:05:38:9	 5	     170    	   -395	          1
   11	  00:05:39:2	 7	     -240    	   -175	          1
   12	  00:05:39:4	 1	     -245    	   35	          1
   13	  00:05:39:8	 1	     -35    	   150	          1
   14	  00:05:40:0	 3	     195    	   30	          1
   15	  00:05:40:3	 5	     45    	   -270	          1
   16	  00:05:40:5	 7	     -200    	   -175	          1
   17	  00:05:40:9	 7	     -285    	   -70	          1
   18	  00:05:41:1	 1	     -265    	   150	          1
   19	  00:05:41:4	 3	     65    	   90	          1
   20	  00:05:41:6	 5	     215    	   -200	          1
   21	  00:05:41:9	 5	     170    	   -420	          1
   22	  00:05:42:2	 7	     -60    	   -335	          1
   23	  00:05:42:5	 7	     -170    	   -65	          1
   24	  00:05:42:8	 3	     245    	   10	          1
   25	  00:05:43:0	 5	     185    	   -115	          1
   26	  00:05:43:4	 5	     40    	   -260	          1
   27	  00:05:43:7	 1	     -280    	   140	          1
   28	  00:05:44:0	 1	     -65    	   225	          1
   29	  00:05:44:3	 3	     45    	   10	          1
   30	  00:05:44:6	 7	     -130    	   -135	          1
   31	  00:05:44:8	 7	     -215    	   -65	          1
   32	  00:05:45:1	 7	     -230    	   -10	          1
   33	  00:05:45:4	 1	     -60    	   170	          1
   34	  00:05:46:0	 3	     15    	   175	          1
   35	  00:05:46:2	 3	     105    	   120	          1
   36	  00:05:46:5	 3	     175    	   25	          1
   37	  00:05:46:6	 5	     185    	   -50	          1
   38	  00:05:46:9	 3	     190    	   110	          1
   39	  00:05:47:0	 3	     190    	   190	          1
   40	  00:05:47:1	 1	     -130    	   160	          1
   41	  00:06:59:6	 1	     -60    	   195	          1
   42	  00:06:59:8	 1	     -240    	   150	          1
   43	  00:07:00:0	 1	     -400    	   105	          1
   44	  00:07:00:6	 1	     -130    	   205	          1
   45	  00:07:00:8	 3	     120    	   135	          1
   46	  00:07:00:9	 3	     155    	   5	          1
   47	  00:07:01:1	 5	     10    	   -70	          1
   48	  00:07:01:2	 1	     -90    	   50	          1
   49	  00:07:01:5	 1	     -120    	   190	          1
   50	  00:07:01:6	 1	     -65    	   285	          1
   51	  00:07:01:8	 3	     95    	   60	          1
   52	  00:07:02:0	 5	     190    	   -85	          1
   53	  00:07:02:1	 5	     255    	   -105	          1
   54	  00:07:02:3	 5	     10    	   -155	          1
   55	  00:07:02:4	 7	     -200    	   -25	          1
   56	  00:07:02:6	 1	     -235    	   95	          1
   57	  00:07:02:8	 3	     15    	   250	          1
   58	  00:07:03:0	 3	     125    	   135	          1
   59	  00:07:03:2	 7	     -145    	   -235	          1
   60	  00:07:03:4	 7	     -325    	   -140	          1
