
 ПРОТОКОЛ №1            26-05-2018 15:07:26
 -------------------------------------------------------------------------------
 Оператор:   [ТЕСТ РУЧНОЙ №4]
 Мишень:     [1]
 -------------------------------------------------------------------------------
 Номер      Отметка      Область     Положение X   Положение Y    Cтатус
 пробоины   времени      попадания                                управления
 -------------------------------------------------------------------------------
   1	  00:00:01:1	 5	     270    	   -125	          1
   2	  00:00:02:5	 1	     -300    	   215	          1
   3	  00:00:02:7	 1	     -315    	   365	          1
   4	  00:00:02:9	 3	     25    	   315	          1
   5	  00:00:03:1	 3	     175    	   140	          1
   6	  00:00:03:4	 5	     300    	   -115	          1
   7	  00:00:03:7	 7	     -165    	   -385	          1
   8	  00:00:03:9	 8	     -385    	   0	          1
   9	  00:00:04:0	 1	     -290    	   280	          1
   10	  00:00:04:2	 3	     170    	   135	          1
   11	  00:00:04:4	 5	     215    	   -210	          1
   12	  00:00:04:7	 7	     -75    	   -370	          1
   13	  00:00:04:8	 7	     -195    	   -245	          1
   14	  00:00:05:0	 7	     -100    	   -150	          1
   15	  00:00:05:3	 5	     275    	   -160	          1
   16	  00:00:05:5	 5	     295    	   -245	          1
   17	  00:00:05:8	 8	     -95    	   0	          1
   18	  00:00:06:0	 3	     150    	   40	          1
   19	  00:00:06:2	 5	     375    	   -250	          1
   20	  00:00:06:4	 5	     210    	   -415	          1
   21	  00:00:06:5	 7	     -220    	   -100	          1
   22	  00:00:06:7	 5	     255    	   -40	          1
   23	  00:00:07:0	 5	     315    	   -310	          1
   24	  00:00:07:3	 7	     -20    	   -375	          1
   25	  00:00:07:5	 5	     255    	   -395	          1
   26	  00:00:07:7	 5	     370    	   -395	          1
   27	  00:00:08:1	 7	     -10    	   -300	          1
   28	  00:00:08:3	 7	     -215    	   -205	          1
   29	  00:00:08:5	 1	     -260    	   75	          1
   30	  00:00:08:7	 1	     -215    	   190	          1
   31	  00:00:08:9	 3	     155    	   260	          1
   32	  00:00:09:0	 5	     310    	   -70	          1
   33	  00:00:09:3	 5	     230    	   -230	          1
   34	  00:00:09:6	 1	     -220    	   50	          1
   35	  00:00:09:7	 1	     -280    	   295	          1
   36	  00:00:09:9	 1	     -25    	   375	          1
   37	  00:00:10:1	 3	     210    	   215	          1
   38	  00:00:10:4	 5	     325    	   -130	          1
   39	  00:00:10:6	 5	     140    	   -315	          1
   40	  00:00:10:8	 7	     -305    	   -55	          1
   41	  00:00:11:0	 1	     -320    	   255	          1
   42	  00:00:11:2	 1	     -10    	   290	          1
   43	  00:00:11:3	 3	     245    	   40	          1
   44	  00:00:11:6	 5	     290    	   -165	          1
   45	  00:00:11:8	 7	     -5    	   -315	          1
   46	  00:00:11:9	 7	     -300    	   -75	          1
   47	  00:00:12:1	 1	     -325    	   275	          1
   48	  00:00:12:3	 3	     55    	   170	          1
   49	  00:00:12:5	 5	     195    	   -75	          1
   50	  00:00:12:9	 7	     -205    	   -160	          1
   51	  00:00:13:0	 7	     -185    	   -90	          1
   52	  00:00:13:2	 7	     -40    	   -70	          1
   53	  00:00:13:3	 5	     155    	   -90	          1
   54	  00:00:13:4	 5	     260    	   -265	          1
   55	  00:00:13:7	 7	     -65    	   -240	          1
   56	  00:00:14:0	 1	     -135    	   55	          1
   57	  00:00:14:1	 1	     -40    	   60	          1
   58	  00:00:14:3	 5	     205    	   -155	          1
   59	  00:00:14:5	 5	     240    	   -345	          1
   60	  00:00:14:7	 7	     -35    	   -225	          1
